id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1451222462021185539,2021-10-21 16:22:52+00:00,"Tasty’s Alvin Zhou gives us an exclusive behind the scenes of ‘Snoop &amp; Martha’s Very Tasty Halloween’. Don’t miss Tasty's first ever Halloween TV special, streaming now only on Peacock!!
 
https://t.co/ijuiaBUAMU https://t.co/GJzhUoII5u",0,17,Yes,en,no media
1438865799570153472,2021-09-17 14:01:54+00:00,“I [sort of surprised] myself with the amount of empathy I felt towards John Mulaney mega fans who felt really burned by this.” https://t.co/Gvs7EJgtra,0,3,Yes,en,no media
1430668654388170752,2021-08-25 23:09:22+00:00,"“Alfred Molina is back as Doc Ock and he says, ‘Hello, Peter,’ like…I definitely think he’s not talking to Tom Holland-Peter Parker.” https://t.co/qwB6qOGcea",0,11,Yes,en,no media
1428821613441691659,2021-08-20 20:49:53+00:00,“I used to watch tons and tons of cop shows — I watch almost none now.” https://t.co/4xnabhu89S,0,5,Yes,en,no media
1422569500663296002,2021-08-03 14:46:13+00:00,"""The thing with the positivity in particular is that the show again and again shows you that’s the worst part of Ted’s character."" https://t.co/PG2hTSlAdS",0,5,Yes,en,no media
1390728176012247042,2021-05-07 18:00:10+00:00,"No thoughts just ""Muppets Haunted Mansion"" #TheBuzz https://t.co/jUgr9MQQF9",0,5,Yes,en,video
1390717967751593989,2021-05-07 17:19:36+00:00,"""The Mummy"" hit theaters 22 years ago today and Brendan Fraser and Rachel Weisz and everyone else involved should've won Oscars #TheBuzz https://t.co/IP5ZvQS97e",0,27,Yes,en,no media
1390702960536178690,2021-05-07 16:19:58+00:00,"Hilary Duff says part of the reason the ""Lizzie McGuire"" reboot didn't happen is she and Disney are both ""very protective"" of the character #TheBuzz https://t.co/lL2oGebAkN",0,12,Yes,en,no media
1390389303197458446,2021-05-06 19:33:36+00:00,"After almost 13 years we finally know who the father of Jan's baby was on ""The Office"" 🤯 #TheBuzz https://t.co/Bf9Ki6YRvo",0,8,Yes,en,video
1390367685578526721,2021-05-06 18:07:42+00:00,"Could I *be* any older? The series finale of ""Friends"" aired 17 years ago #TheBuzz https://t.co/0bvHisxAWl",0,11,Yes,en,video
1390350545072889858,2021-05-06 16:59:36+00:00,Beyoncé being inspired by the Spice Girls honestly makes so much sense #TheBuzz https://t.co/g99V2ChTgf,0,9,Yes,en,video
1390330097769537539,2021-05-06 15:38:21+00:00,Okay give us your #StrangerThings Season 4 theories please! #TheBuzz https://t.co/BaI7jHXdcv,0,7,Yes,en,video
1390019557499326467,2021-05-05 19:04:22+00:00,"""On Wednesdays we watch #Loki"" – us in June #TheBuzz https://t.co/mQh158A4kN",0,6,Yes,en,video
1389968003228442625,2021-05-05 15:39:30+00:00,"And he says to me ""hey are you excited John Mulaney is doing standup again"" and I said ""no."" You know, like a liar #TheBuzz https://t.co/hRDNxNKtkL",0,8,Yes,en,no media
1389943053675282433,2021-05-05 14:00:22+00:00,"RT if you agree that ""And Then There Was Shawn"" is the best episode of ""Boy Meets World"" 🥰🔪 #TheBuzz https://t.co/HEoJvcgT6a",0,19,Yes,en,video
1389671097273143300,2021-05-04 19:59:43+00:00,3 reasons Mark Hamill is too pure for this world 😭 #MayThe4thBeWithYou #TheBuzz https://t.co/fBjjNDaXSs,0,14,Yes,en,video
1389653519318278146,2021-05-04 18:49:52+00:00,Enjoy having all these one-hit wonders stuck in your head for the rest of the week 🥰 #TheBuzz https://t.co/pos1KDwC2U,0,2,Yes,en,video
1389241193809203206,2021-05-03 15:31:26+00:00,Ben Affleck and Jennifer Lopez were spotted hanging out so ofc everyone is losing their minds #TheBuzz https://t.co/t1yWvyiX91,0,7,Yes,en,video
1389235002362277891,2021-05-03 15:06:49+00:00,"Relax, it's only m̶a̶g̶i̶c̶ the 25th anniversary of ""The Craft"" 🔮🐍✨ #TheBuzz https://t.co/0zjxgY2UOi",0,9,Yes,en,video
1388221939634823183,2021-04-30 20:01:16+00:00,Shoutout to all the Fannibals still holding out hope for Season 4 of #Hannibal 🥺 #TheBuzz https://t.co/A0KhcqMAVq,0,99,Yes,en,video
1388159933108064263,2021-04-30 15:54:53+00:00,"It may not be October 3, but it *is* the 17th anniversary of ""Mean Girls"" 💖 #TheBuzz https://t.co/to4B5KDkgc",0,27,Yes,en,video
1387849692340490248,2021-04-29 19:22:06+00:00,"*clears throat* All three ""Rush Hour"" movies will be on HBO Max in May #TheBuzz https://t.co/CG5rfOAE9A",0,8,Yes,en,video
1387801684525596677,2021-04-29 16:11:20+00:00,Chrissy Teigen went there with this Lori Loughlin joke 💀 #TheBuzz https://t.co/hu4Lxvd0Ee,0,3,Yes,en,video
1387483344972271616,2021-04-28 19:06:22+00:00,"Which do you think is a better movie: ""Citizen Kane"" or ""Paddington 2""? #TheBuzz",0,7,Yes,en,no media
1387438272620662794,2021-04-28 16:07:16+00:00,"""Bridesmaids"" was released 10 years ago and I'm ready to paaaarrrrtttttyyyyyy #TheBuzz https://t.co/Xh3nWI69ai",0,27,Yes,en,video
1387424199984271367,2021-04-28 15:11:21+00:00,The cover art for Lana Del Rey's new album is certainly...a choice #TheBuzz https://t.co/IYY12PaOCi,0,6,Yes,en,video
1387137040072970242,2021-04-27 20:10:16+00:00,A new photo from the upcoming Lucille Ball movie is here and Twitter has some THOUGHTS #TheBuzz https://t.co/TInMP1lUKV,0,4,Yes,en,photo
1387124230291066887,2021-04-27 19:19:22+00:00,We're getting a new Billie Eilish album and is it July 30 yet?? #TheBuzz https://t.co/Y8ec0dmJOP,0,8,Yes,en,photo
1387093074652901380,2021-04-27 17:15:34+00:00,You finished streaming “The Nanny” didn’t you? Here are some similar shows you should check out #TheBuzz https://t.co/qBmMi0A1GT,0,9,Yes,en,no media
1387068175372664832,2021-04-27 15:36:38+00:00,"Happy birthday to Lizzo, one of our favorite relatable queens 👑🎂 #The Buzz https://t.co/xXcdIhRBap",0,9,Yes,en,photo
1386748559526174727,2021-04-26 18:26:35+00:00,Psst icymi we're getting the next season of #YouNetflix before the end of the year 🙏 #TheBuzz https://t.co/VVP07I6p2X,0,3,Yes,en,video
1386715925454393350,2021-04-26 16:16:55+00:00,The Oscars really woke up yesterday and chose violence #TheBuzz https://t.co/TOXkk5IFFK,0,6,Yes,en,video
1386705125675347969,2021-04-26 15:34:00+00:00,"It's somehow already been and only been two years since ""Avengers: Endgame"" came out 🤯 #TheBuzz https://t.co/nJyHjEAyyi",0,13,Yes,en,video
1385665446079127554,2021-04-23 18:42:41+00:00,"FYI everyone who turned 13 the year ""13 Going on 30"" came out is turning 30 this year 🥰 #TheBuzz https://t.co/vlVj5FJ2rS",0,58,Yes,en,video
1385643691272978436,2021-04-23 17:16:14+00:00,If you need a distraction from #TheFalconAndTheWinterSoldier ending here are 3 reasons Anthony Mackie and Sebastian Stan have the cutest friendship 🥺 #TheBuzz https://t.co/Crfusgy0BG,0,19,Yes,en,no media
1385643674915250185,2021-04-23 17:16:10+00:00,"Okay the ""Save Your Tears"" remix is SO GOOD like can we just get an entire album of Ariana Grande and The Weeknd collabs?? #TheBuzz https://t.co/kJITVoQSgd",0,9,Yes,en,no media
1385318211151962113,2021-04-22 19:42:54+00:00,"I can't get ogre the fact that ""Shrek"" came out 20 years ago 💚 #TheBuzz https://t.co/jGRsmpmVQO",0,16,Yes,en,video
1385270922060476420,2021-04-22 16:34:59+00:00,"Hilary Duff is starring in this reboot on Hulu...no, not *that* one #TheBuzz https://t.co/D8ZV0qTCJG",0,16,Yes,en,video
1384961863100817408,2021-04-21 20:06:54+00:00,"It's the 26th anniversary of ""While You Were Sleeping"" so if you need me I'll be rewatching it all day #TheBuzz https://t.co/SYgbCFSVJk",0,9,Yes,en,no media
1384955421773938692,2021-04-21 19:41:18+00:00,How has it been five years since we lost Prince? 😭💜 #TheBuzz https://t.co/4kRzMMarSV,0,20,Yes,en,video
1384914547186753546,2021-04-21 16:58:53+00:00,"""Bridgerton"" fan Kim Kardashian is ready for a ""Keeping Up With the Featheringtons"" spinoff 😂 #TheBuzz https://t.co/kz7B69eDJZ",0,6,Yes,en,video
1384907888494354437,2021-04-21 16:32:25+00:00,"""She is really wonderful, and so kind — just as kind as everyone says she is.""

Chrissy Teigen reveals Meghan Markle reached out to her about her miscarriage #TheBuzz https://t.co/ajSlPoAU5f",0,19,Yes,en,no media
1384589169993920514,2021-04-20 19:25:57+00:00,#TheFalconAndTheWinterSoldier is ending soon so we're consoling ourselves with fun facts about Anthony Mackie and Sebastian Stan 🙃🥰 #TheBuzz https://t.co/7iCsmlzkIt,0,164,Yes,en,no media
1384550845598027777,2021-04-20 16:53:39+00:00,"Shoutout to ""The Nanny"" MVP Fran Fine for still being a fashion icon after nearly 30 years 👠 #TheBuzz https://t.co/d3TM9TG4kE",0,37,Yes,en,video
1384244597275041793,2021-04-19 20:36:44+00:00,The McDonald's BTS Meal comes out May 26 which means May 26 is officially a national holiday #TheBuzz https://t.co/gemMPHF4rB,0,447,Yes,en,video
1384183245693022209,2021-04-19 16:32:57+00:00,"Jack Black deserved an Oscar for ""School of Rock"" don't @ me #TheBuzz https://t.co/J2GzpipN30",0,34,Yes,en,video
1383145431006330881,2021-04-16 19:49:03+00:00,"I started to wonder — was John Corbett really returning for the ""Sex and the City"" reboot? #TheBuzz https://t.co/xkpn48IdUQ",0,3,Yes,en,video
1383124603833352195,2021-04-16 18:26:17+00:00,Chrissy Teigen lasted about three weeks without Twitter and honestly who among us 😂 #TheBuzz https://t.co/4rPTRfcLRa,0,3,Yes,en,video
1383097180131581952,2021-04-16 16:37:19+00:00,"""All That"" premiered 27 years ago today 💛 Which was your favorite sketch? #TheBuzz",0,8,Yes,en,no media
1383088435724976128,2021-04-16 16:02:34+00:00,There are new Harry Styles pics on the timeline and fans *Ariel* excited 🧜‍♀️ #TheBuzz https://t.co/0f6jP27rgt,0,17,Yes,en,video
1382848438065332224,2021-04-16 00:08:54+00:00,"I can't believe this is what they used for holy water on ""Supernatural"" 🤦😂 #TheBuzz https://t.co/kcWHfMacw5",0,6,Yes,en,video
1382776548885946380,2021-04-15 19:23:14+00:00,"It's the 25th anniversary of No Doubt's ""Don't Speak"" 🍊 Who else remembers scream-singing this in their bedrooms? #TheBuzz https://t.co/grIK8hah7q",0,20,Yes,en,no media
1382727664415424512,2021-04-15 16:08:59+00:00,"""We have realized we are better as friends and look forward to remaining so.""

Jennifer Lopez and Alex Rodriguez have officially called off their engagement and I can't even 😭 #TheBuzz https://t.co/t3Zvvorsmk",0,6,Yes,en,no media
1382415769884094466,2021-04-14 19:29:38+00:00,The first trailer for #F9 is out and may I just say HELEN MIRREN 😍 #TheBuzz https://t.co/Pt5OKjhVx1,0,7,Yes,en,video
1382386623673958405,2021-04-14 17:33:49+00:00,I said brrr...it's cold in here...there must be some of our favorite '00s movies in the atmosphere 💚 #TheBuzz https://t.co/YBehNkhGkA,0,8,Yes,en,no media
1382364775858978817,2021-04-14 16:07:00+00:00,Demi Lovato might be heading back to your TV screens in a new sitcom pilot 🤞 #TheBuzz https://t.co/J0ivEC730E,0,6,Yes,en,video
1382058137260294144,2021-04-13 19:48:31+00:00,"""Zombies and tigers and Dave Bautista, oh my"" – Zack Snyder writing #ArmyOfTheDead probably #TheBuzz https://t.co/6uEzgXmqQn",0,10,Yes,en,video
1382035001655562242,2021-04-13 18:16:36+00:00,"""Bridget Jones's Diary"" premiered 20 years ago today 😮 Here are a few things you might not know about it #TheBuzz https://t.co/7bBlA6A4E1",0,35,Yes,en,no media
1381999696852434952,2021-04-13 15:56:18+00:00,"Lady Gaga's ""ARTPOP"" has (re)entered the cha(r)t #TheBuzz https://t.co/0zPcEUPIy6",0,47,Yes,en,video
1381661590538362884,2021-04-12 17:32:47+00:00,Can you believe these iconic TV characters were almost nothing more than cameos?? #TheBuzz https://t.co/3YtFCm1R8m,0,3,Yes,en,video
1381646005762936839,2021-04-12 16:30:52+00:00,Did Kelly Clarkson inspire Taylor Swift to re-record her music?! #TheBuzz https://t.co/jVwS0MKV6a,0,7,Yes,en,video
1380604206558629893,2021-04-09 19:31:07+00:00,"It's the 12th anniversary of ""Parks and Rec"" so treat yo self to a marathon this weekend #TheBuzz https://t.co/G7Tp3DHw0W",0,12,Yes,en,photo
1380586114780651524,2021-04-09 18:19:14+00:00,"One of the funniest (and cringiest) episodes of ""The Office"" aired for the first time 13 years ago 🍷🕯🥩 #TheBuzz https://t.co/6n8w4ePEQj",0,22,Yes,en,no media
1380555479114510341,2021-04-09 16:17:30+00:00,"""Fearless (Taylor's Version)"" is finally out and I literally don't know what to do with myself 😍 #TheBuzz https://t.co/gKa3qad2O2",0,5,Yes,en,no media
1380241989464170496,2021-04-08 19:31:48+00:00,"""Josie and the Pussycats"" turns 20 this year — what's your favorite song from the movie? #TheBuzz",0,10,Yes,en,no media
1380211486732259338,2021-04-08 17:30:36+00:00,Khloé Kardashian explained why she wanted the untouched photo of her taken offline #TheBuzz https://t.co/OXHBp7dYpF,0,5,Yes,en,video
1380202418034597899,2021-04-08 16:54:34+00:00,"“When I saw her video I was so upset. There’s never an excuse for being rude.”

Hailey Bieber spoke out about a TikTok that called her ""not nice"" #TheBuzz https://t.co/jV9B2LrNji",0,5,Yes,en,no media
1379878283462983682,2021-04-07 19:26:34+00:00,"Swifties are out in full force speculating about ""Mr. Perfectly Fine"" 👀 #TheBuzz https://t.co/zCErW1f7in",0,4,Yes,en,video
1379878255361196041,2021-04-07 19:26:27+00:00,"It's hard to believe but Megan Thee Stallion's ""Savage"" is officially one year old 🎉 #TheBuzz https://t.co/IBmgA6nawz",0,3,Yes,en,video
1379825568699535360,2021-04-07 15:57:06+00:00,"No better time for ""A Goofy Movie"" rewatch than the 26th anniversary! 💛 #TheBuzz https://t.co/ofqTue0HdV",0,8,Yes,en,video
1379527873296539654,2021-04-06 20:14:10+00:00,Fans are bummed these actors didn't reprise some of their most iconic roles 😭 #TheBuzz https://t.co/c3wHPjYN7Y,0,6,Yes,en,video
1379520553300660228,2021-04-06 19:45:04+00:00,"3 reasons you need to rewatch ""Legally Blonde"" now that it's streaming on Netflix 💕 #TheBuzz https://t.co/gYKOvkSNCg",0,4,Yes,en,video
1379470480835502088,2021-04-06 16:26:06+00:00,"We need LeVar Burton to host ""Jeopardy"" now please 🙏 #TheBuzz https://t.co/AZlQGLZVSs",0,11,Yes,en,video
1379452697569603595,2021-04-06 15:15:26+00:00,"It's Paul Rudd's birthday, aka time for Twitter to try to figure out how he's in his 50s 😂 #TheBuzz https://t.co/5uuwTRpsFL",0,25,Yes,en,video
1379161471750406147,2021-04-05 19:58:13+00:00,"The new #Loki trailer has everything: Tom Hiddleston, Owen Wilson, Loki and Mobius flirting?? Maybe Black Widow?? #TheBuzz https://t.co/QZxBSnSXBn",0,8,Yes,en,no media
1379151529110802439,2021-04-05 19:18:42+00:00,"""It makes perfect sense to me that Regé-Jean Page is leaving ""Bridgerton""...to become one of the biggest stars on the planet.""

Fans are making the best of Regé-Jean's #Bridgerton departure #TheBuzz https://t.co/Fyn7imJRVw",0,9,Yes,en,no media
1379116597923680256,2021-04-05 16:59:54+00:00,"""Deadwood"" and a couple other TV shows that deserved to be way more popular than they actually were #TheBuzz https://t.co/N3c3OsTiLg",0,2,Yes,en,no media
