id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466151729301528583,2021-12-01 21:06:26+00:00,Republican governors have spent a decade warring against Affordable Care Act provisions. Democrats are trying to prevent a repeat for their new child care programs. https://t.co/zz5czRNL73,0,0,No,en,no media
1466070559788355584,2021-12-01 15:43:54+00:00,The House Freedom caucus is pleading with Senate Republicans to use procedural leverage to delay government funding in a war against Biden’s COVID vaccine mandates. https://t.co/qu0328s5ct,1,1,No,en,no media
1465842341890117634,2021-12-01 00:37:02+00:00,Results from the Atlanta Mayoral Runoff Election https://t.co/NkvTYRg0aq,0,0,No,en,no media
1465834764083027968,2021-12-01 00:06:56+00:00,Democrats aren’t rushing into another rebuke of a single Republican member. And Republican leaders are again keeping silent. https://t.co/YxlcuzN7cX,8,4,No,en,no media
1465810252838981641,2021-11-30 22:29:32+00:00,"“BuzzFeed has identified a significant public interest and demonstrated how disclosure will advance that interest,” the appeals court said in an 18-page opinion. https://t.co/bfQrrUyVvs",2,0,No,en,no media
1465793081014427651,2021-11-30 21:21:18+00:00,Trump’s lawyer said they planned to petition the Supreme Court to take the case if they lose again. https://t.co/1RYeLKj8J7,0,0,No,en,no media
1465425599950905348,2021-11-29 21:01:03+00:00,Guy Reffitt is set to face a jury in February. https://t.co/hw7WPSi1u6,3,0,No,en,no media
1465397193184059401,2021-11-29 19:08:11+00:00,The new contempt findings could come after Steve Bannon was indicted for contempt of Congress after he ignored a Congressional subpoena. https://t.co/v0Hd4zkgZZ,0,0,No,en,no media
1463559860377862145,2021-11-24 17:27:16+00:00,"Bradley Hammersley, the foot doctor that the VA blamed for a long string of botched surgeries, will be able to continue to practice but is banned from performing new surgeries. https://t.co/2uQyJJZrHA",0,0,No,en,no media
1463504921362407425,2021-11-24 13:48:58+00:00,"Cori Bush set out to make Congress more reflective of activism outside Washington. But in an institution with hierarchical power structures, how much say does she have? https://t.co/mdT0RGAz4Z",0,0,No,en,no media
1463304918794739718,2021-11-24 00:34:14+00:00,"Members of the groups are already sitting in jail, staring down felony charges, and facing civil lawsuits. https://t.co/HXhCZrA5ah",1,1,No,en,no media
1462844977612996609,2021-11-22 18:06:35+00:00,"Judge Royce Lamberth sentenced a Pennsylvania man to 60 days in jail, more than the two weeks requested by the government. https://t.co/6AebjV9Pjg",2,2,No,en,no media
1461824378979729410,2021-11-19 22:31:05+00:00,Other emails obtained by BuzzFeed News show how DOJ strategized about public messaging leading up to Jan. 6. https://t.co/wx2rTEMFBJ,0,0,No,en,no media
1461816789701124105,2021-11-19 22:00:56+00:00,Judge Amit Mehta described a Capitol rioter as a “pawn in a game that’s played and directed by people who should know better.” https://t.co/GLd6V0hQEW,3,3,No,en,no media
1461808573122555905,2021-11-19 21:28:17+00:00,A cohort of republicans rushed to praise Rittenhouse after he was found not guilty on all charges. https://t.co/Y1rkHbgFwh,2,1,No,en,no media
1461707824879263748,2021-11-19 14:47:57+00:00,"It’s a major step for President Biden’s signature legislation, but passage through the Senate is far from a sure thing. https://t.co/6919qCfwS1",0,1,No,en,no media
1461465254752395270,2021-11-18 22:44:04+00:00,The Times said it would immediately challenge the “unconstitutional” order. https://t.co/PYx3Jlc0bm,2,0,No,en,no media
1461424305967976454,2021-11-18 20:01:21+00:00,"The Republican National Committee chair told reporters that her party can talk about the last election and the next one at the same time, and without Trump ""we would lose."" https://t.co/A0b3RZGP0d",0,0,No,en,no media
1461085105078812677,2021-11-17 21:33:29+00:00,"Paul Gosar’s “creative” team, who made the violent meme, just earned him an official condemnation from the House of Representatives. https://t.co/UN1WZT4TE7",4,0,No,en,no media
1460771031866560522,2021-11-17 00:45:28+00:00,Steve Bannon hired one of Trump's impeachment lawyers to fight his contempt of Congress charges. https://t.co/ioiTt6FITh,1,1,No,en,no media
1459265617182310421,2021-11-12 21:03:29+00:00,The close Trump adviser had ignored a subpoena as part of the House’s investigation into Jan. 6. https://t.co/FmIrlKwDm6,15,1,No,en,no media
1459207000659746818,2021-11-12 17:10:34+00:00,Lonnie Coffman also admitted traveling with multiple guns in his truck. https://t.co/0k5yFaTXh7,2,0,No,en,no media
1459022568703340595,2021-11-12 04:57:42+00:00,"“It’s amazing people want to kill me over paving roads and clean water,” Garbarino told BuzzFeed News. https://t.co/MqWxX9bzRx",4,2,No,en,no media
1458907540096438280,2021-11-11 21:20:37+00:00,Donald Trump will get a few extra weeks to try to convince the DC Circuit to stop the committee from getting his White House documents. https://t.co/nqUYHhrvvr,1,0,No,en,no media
1458486615169458178,2021-11-10 17:28:01+00:00,Scott Fairlamb was captured on video assaulting police and bragging about stealing an officer’s baton. He’s the first rioter sentenced to years in prison. https://t.co/K2A5ut579r,0,0,No,en,no media
1458261834746707971,2021-11-10 02:34:49+00:00,Judge Tanya Chutkan wrote that examining what led to the Jan. 6 insurrection was in the public interest. https://t.co/1Dbuf7VGHK,4,0,No,en,no media
1458210056428822529,2021-11-09 23:09:04+00:00,House Republican leaders are so far staying quiet on whether they’ll take any public steps to criticize the Arizona congressmember. https://t.co/B4bZPoq45i,2,0,No,en,no media
1458128829373947920,2021-11-09 17:46:18+00:00,"Guns, knives, bats, chemicals, stolen police gear, flagpoles, a “Trump 2020” sign, pieces of metal and wood, crutches, a skateboard, stun devices, a crow bar, and a firecracker. https://t.co/2y5BlM8vEj",1,0,No,en,no media
1457730182614327296,2021-11-08 15:22:13+00:00,"Evan Neumann, wanted for attacking a police officer and entering the Capitol during the insurrection, told a Belarusian state-run TV news channel that he crossed through snake-infested swamps and forests from Ukraine. https://t.co/0l4RF1A2rc",1,0,No,en,no media
1457347772298977287,2021-11-07 14:02:39+00:00,The threads of politics today converged in one school board race. Things are getting ugly. https://t.co/wblrlqi7UK,0,1,No,en,no media
1456825592133914626,2021-11-06 03:27:42+00:00,A tumultuous day in the House ended with a late vote on the bipartisan bill that will send billions in funding to boost America’s aging infrastructure. https://t.co/QGg5VbUt9n,2,0,No,en,no media
1456723563155755009,2021-11-05 20:42:16+00:00,"In Guilford, Connecticut, parents running for the town’s Board of Education on an anti–critical race theory campaign were resoundingly defeated. But that hasn’t happened everywhere. https://t.co/Xf6ODlZUMa",1,0,No,en,no media
1456379581397667843,2021-11-04 21:55:25+00:00,The hearing comes days before the National Archives is set to turn over records to the Jan. 6 committee unless the court intervenes. https://t.co/zTVuTLp8WJ,4,0,No,en,no media
1456047976279838726,2021-11-03 23:57:44+00:00,"After the loss in Virginia and close win in New Jersey, Democratic strategists say the party could use a rethink before the midterms. https://t.co/KudgiW8l3c",0,0,No,en,no media
1456027774465024011,2021-11-03 22:37:27+00:00,Murphy is the first Democratic governor to win reelection in the state in decades. But the surprisingly close result could foreshadow a tough 2022 for Democrats. https://t.co/vEfFQZUr64,2,1,No,en,no media
1456017661515681795,2021-11-03 21:57:16+00:00,"""This isn’t what the future has to be but if you don’t change your ways, this is what the future will be,"" said Sen. Tim Kaine https://t.co/yuAwNB7uq1",2,0,No,en,no media
1455975790441549824,2021-11-03 19:10:53+00:00,Another seven Republican candidates who went to Trump’s rally on Jan. 6 or marched to the Capitol lost their races. https://t.co/5GatLgeu4k,23,5,No,en,no media
1455947979169402885,2021-11-03 17:20:23+00:00,The justices heard oral arguments in a New York case on Wednesday that could have broad implications for gun control in the US. https://t.co/UQ64j33Lpg,1,1,No,en,no media
1455721679007715329,2021-11-03 02:21:08+00:00,The no vote is a blow to the police reform movement that swept across the country following the 2020 protests. https://t.co/OJS11tdEOA,1,1,No,en,no media
1455700961511497731,2021-11-03 00:58:49+00:00,Former Virginia governor Terry McAuliffe's loss in a state Joe Biden won big in 2020 shows how tricky the midterms could be for Democrats. https://t.co/Ga5vnzUW3b,14,3,No,en,no media
