id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1086307899532558337,2019-01-18 17:02:40+00:00,"Pat Manuel made history as the first openly trans man to box professionally in the US. He says not only can trans people compete — “we can win."" 🥊 https://t.co/GZeeEauPPW",0,29,Yes,en,no media
1085269960287490048,2019-01-15 20:18:16+00:00,Here's video of Trump serving up a fast-food feast on silver platters to college football players at the White House 🏈🍔 https://t.co/mS36WdIWZK,0,17,Yes,en,no media
1085223695679934464,2019-01-15 17:14:26+00:00,Here's video of Trump serving up a fast-food feast on silver platters to college football players at the White House 🏈🍔 https://t.co/sUOuVJ1EoN,0,117,Yes,en,no media
1075106675911217155,2018-12-18 19:13:00+00:00,Women are testing race cars in Saudi Arabia for the first time — after the country recently lifted a driving ban 🏎🏁 https://t.co/GJg2NBOXLt,0,81,Yes,en,no media
1072939672647688196,2018-12-12 19:42:06+00:00,This 21-year-old blind woman is training to enter a surfing championship — and is encouraging others to challenge themselves 🌊🏄‍♀️ https://t.co/eNnqHpMnsE,0,15,Yes,en,no media
1072932815057154049,2018-12-12 19:14:51+00:00,"Three orca whales joined this woman swimming in what she called ""a life-changing experience"" 🐳😲 https://t.co/yFd919tDDP",0,235,Yes,en,video
1072577632649310209,2018-12-11 19:43:29+00:00,This 102-year-old woman just became the oldest person ever to skydive 👵✈️ https://t.co/EbkcdFX1nd,0,94,Yes,en,video
1071112343571050496,2018-12-07 18:40:57+00:00,"This hockey team collected 35,000 teddy bears for charity in the most amazing way 🐻🏒 https://t.co/GnZdLucVdU",0,72,Yes,en,video
1071088884543614976,2018-12-07 17:07:44+00:00,This tennis tournament has ball dogs instead of ball kids 🎾🐶 https://t.co/wIe3SrhM6q,0,58,Yes,en,video
1052626618584322048,2018-10-17 18:25:17+00:00,@BuzzFeedNews @Walldo brandon you're a cubs fan,6,0,No,en,no media
1018546259689463809,2018-07-15 17:22:06+00:00,Massive celebrations in Paris right now after France wins World Cup 🇫🇷🏆 https://t.co/IaqBdQm3jE,0,120,Yes,en,video
996782679470288896,2018-05-16 16:01:24+00:00,"#Ramadan Lunch Break is live talking about @IbtihajMuhammad, sports, and fasting with @radbrowndads and @rawan. #SeeSomething https://t.co/2VqTq99kkY",0,8,Yes,en,no media
928335379949899777,2017-11-08 18:56:16+00:00,"Honestly shocked the list of @Browns starting QBs since 1999 fit in 280 characters:

Couch
Detmer
Wynn
Pederson
Holcomb
McCown
Garcia
Dilfer
Frye
Dorsey
Gradakowski
Anderson
Quinn
Delhomme
Wallace
McCoy
Lewis
Weeden
Campbell
Hoyer
Manziel
Shaw
McCown
Davis
RG3
Kessler
Kizer
Hogan",0,32,Yes,en,no media
925922565905887232,2017-11-02 03:08:37+00:00,I regret nothing https://t.co/cK6kcpL7xv,0,486,Yes,en,video
874682205636841473,2017-06-13 17:37:43+00:00,Kevin Durant's Mom Was The Best Thing About The Warriors Championship https://t.co/rvhqMZSMCV via @eyefivestyle,14,7,No,en,no media
872165094758776833,2017-06-06 18:55:37+00:00,17 Times NBA Players Were Shady As Shit https://t.co/6wpYttQ04e via @eyefivestyle,3,1,No,en,no media
872126847600996352,2017-06-06 16:23:38+00:00,Charlie Day And Josh McRoberts Are Legit Doppelgangers And I Hope They Both Love Spaghetti https://t.co/2fppgNpXzj via @ErinChack,12,2,No,en,no media
870757660903309312,2017-06-02 21:42:58+00:00,Adding sports writer 2 my resumé https://t.co/DeasChte2F,0,1,Yes,en,no media
870322811616866305,2017-06-01 16:55:02+00:00,LeBron James spoke out after his home was vandalized with a racial slur https://t.co/CEKIGf3eBe https://t.co/AQdM8I5l33,0,46,Yes,en,video
866739559102590980,2017-05-22 19:36:28+00:00,How Well Do You Know LeBron James? https://t.co/DnTG6yGO4j via @eyefivestyle,2,0,No,en,no media
856709076415328256,2017-04-25 03:18:55+00:00,"bae: come over
Pop: can't I'm busy
bae: I'm a skilled international player likely to be available in the 2nd round of the NBA draft
Pop: https://t.co/KP3mm7a3XI",0,63349,Yes,en,no media
821174294550081537,2017-01-17 01:56:23+00:00,"Draymond gives LeBron the flyby clothesline, mocks the flop https://t.co/OpfJjLaJTv",0,117,Yes,en,no media
821065143308210177,2017-01-16 18:42:39+00:00,"Obama to the Cubs: “It took you long enough. I only have four days left"" https://t.co/cUnxvaM4Jh",0,508,Yes,en,photo
818691309070209024,2017-01-10 05:29:53+00:00,Clemson turns the tide on Alabama to win their first college national championship title since 1981 🐅🏈🏆 https://t.co/WYOdOoZc5q https://t.co/Ch7iqtHwn3,0,174,Yes,en,no media
816889568276451328,2017-01-05 06:10:24+00:00,Welp @trailblazers https://t.co/3toJk6q3r5,13,1,No,en,photo
812769435375325188,2016-12-24 21:18:28+00:00,"THE CLEVELAND BROWNS HAVE WON A FOOTBALL GAME

IT'S A CHRISTMAS MIRACLE https://t.co/AnjrfnOLwh",0,147,Yes,en,photo
810288517960110081,2016-12-18 01:00:11+00:00,Russ just resurrected Vine https://t.co/xGYK7u3bPU,18,14,No,en,no media
809923285047803904,2016-12-17 00:48:53+00:00,This might be my favorite thing ever. Ray Allen's mom ran into Charlie Villanueva wearing a Jesus Shuttlesworth jersey at the mall today. https://t.co/u9rZhkTJhV,0,597,Yes,en,no media
809503306028457984,2016-12-15 21:00:02+00:00,RIP Craig Sager https://t.co/qtMIL31B6r,101,79,No,en,video
808761936167006208,2016-12-13 19:54:06+00:00,"Happy 1-year anniversary to my beloved Cleveland @Browns. 

Can't believe it's been only a year since you actually won a game!!!!!!! https://t.co/q10NZfttPC",0,16,Yes,en,no media
808496306125684736,2016-12-13 02:18:35+00:00,"when you ask your mom for a capri sun and she's like ""here drink this water instead"" https://t.co/uJQ4XS9AYn",134,110,No,en,animated_gif
808442606128656384,2016-12-12 22:45:12+00:00,sounds about right https://t.co/aDFsH7SWar,84,79,No,en,video
807234566373146624,2016-12-09 14:44:52+00:00,MY EYES https://t.co/vHerntB3Kl,22,8,No,en,animated_gif
806232035283107845,2016-12-06 20:21:10+00:00,true https://t.co/lIIz2mxlIK,22,20,No,en,animated_gif
805958767946977281,2016-12-06 02:15:18+00:00,airline companies really doing work on @OhioState fans trying to see their team on new year's eve https://t.co/bkcETqeWY1,0,12,Yes,en,photo
804743537631887360,2016-12-02 17:46:25+00:00,LAY OUT FOR THAT CRUST https://t.co/RW0JafNuZV,20,6,No,en,animated_gif
799320146368151556,2016-11-17 18:35:48+00:00,Kevin Durant last night like https://t.co/N4gOaldvtV,51,21,No,en,photo
799079212644728832,2016-11-17 02:38:25+00:00,Wizards lose to Sixers. https://t.co/TaHiUMR8Cr,0,238,Yes,en,photo
798282392267988992,2016-11-14 21:52:08+00:00,Accurate https://t.co/ev8sCZ8vQK,30,15,No,en,video
797281717912563712,2016-11-12 03:35:48+00:00,For all your Friday night Twitter peeps...I'm playing some @RocketLeague on @Twitch right now https://t.co/rvLoDIm8Pt,0,1,Yes,en,no media
797261624889475072,2016-11-12 02:15:58+00:00,Here's the goal by USA's Bobby Wood to equalize it versus Mexico 1-1 in the 50th minute. #USAvMEX https://t.co/FYxcfH2zHY,0,46,Yes,en,video
796037014323871744,2016-11-08 17:09:48+00:00,BFFs https://t.co/XiaYLvikSV,9,7,No,tl,video
794201446027771904,2016-11-03 15:35:54+00:00,This is the moment outside Wrigley Field when the Chicago Cubs won the #WorldSeries https://t.co/QBZmKPoOiA,0,8768,Yes,en,video
794040546050371584,2016-11-03 04:56:33+00:00,This guy deserves a ring. #WorldSeries https://t.co/bR459CqQwE,0,614,Yes,en,photo
794015068358901760,2016-11-03 03:15:19+00:00,This. Game.,75,37,No,en,no media
793989004467249152,2016-11-03 01:31:44+00:00,Every New Yorker watching the game right now. https://t.co/LHcMovAOpN,0,16,Yes,en,photo
793876217451667456,2016-11-02 18:03:34+00:00,These 5 Questions Will Tell You If The Cubs Will Win Game 7 https://t.co/rH62OGRzfu via @eyefivestyle @buzzfeed,5,0,No,en,no media
793471112982228992,2016-11-01 15:13:49+00:00,Can We Guess Your Favorite Basketball Team With 10 Questions? https://t.co/W5lIiI6OcS via @eyefivestyle @buzzfeed,6,0,No,en,no media
790929905559166976,2016-10-25 14:55:58+00:00,This guy called the @Cubs 2016 World Series run in a 1993 yearbook photo https://t.co/wH0HApFDym https://t.co/uccqo9Ottc,0,92,Yes,en,photo
789562352286957568,2016-10-21 20:21:48+00:00,Aaron Rodgers Wore The Lebowski Sweater Last Night And People Loved It https://t.co/871jvUTZXr via @eyefivestyle @buzzfeed,18,6,No,en,no media
788771793343508481,2016-10-19 16:00:24+00:00,an excellent place to hide from 2016 for ~ 90 mins https://t.co/HiCbsp16q5,0,2,Yes,en,no media
788769814231875584,2016-10-19 15:52:33+00:00,NBA Star Derrick Rose’s Civil Rape Case Goes To The Jury https://t.co/XqqteHTGPm https://t.co/TSrJFREjHp,0,10,Yes,en,photo
788035108603359232,2016-10-17 15:13:05+00:00,"Hello, happy Monday. Please watch this very good @vine https://t.co/akE4Q5lyfb",0,80,Yes,en,no media
786968662414589952,2016-10-14 16:35:24+00:00,How Steph And Ayesha Curry Became The “Good” Black Family https://t.co/yiHRJkAqpz via @israelizreal @buzzfeed,4,2,No,en,no media
785254351434555392,2016-10-09 23:03:21+00:00,Tru https://t.co/dPOxA4oT3L,55,23,No,und,no media
777337839298150400,2016-09-18 02:45:57+00:00,in other news: this catch is WILD https://t.co/A1ycnEgbbX,0,88,Yes,en,video
774694908892418048,2016-09-10 19:43:54+00:00,"central michigan last-second hail mary –&gt; lateral –&gt; touchdown run.

absolutely unbelievable https://t.co/rqGm8CUwEt",0,730,Yes,en,video
772836534705872896,2016-09-05 16:39:23+00:00,Family Home Of Dead College Football Player Burglarized While They Attended His Memorial https://t.co/uE0ecawy85 https://t.co/3d7THjnNbi,0,26,Yes,en,no media
768095943497543680,2016-08-23 14:41:58+00:00,"Man, it's a hot one. https://t.co/XJwHhaSQNx",0,33,Yes,en,photo
