id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466470432270344193,2021-12-02 18:12:51+00:00,"The former ""Bachelor"" confirmed this week that he and Brown, a political strategist, have been in a relationship for several months. https://t.co/syicVUJbo3",0,0,No,en,no media
1466466629395619856,2021-12-02 17:57:44+00:00,The Women’s Health Protection Act would outlaw hundreds of state anti-abortion laws — but passing it would likely require eliminating the Senate filibuster. https://t.co/SiVXJxRfmS,0,0,No,en,no media
1466452294728306701,2021-12-02 17:00:47+00:00,"The Republican congressman from Ohio is spouting nonsense that ignores data, experts and the reality of the newest coronavirus variant. https://t.co/RH21zth5xB",0,0,No,en,no media
1466407455399809026,2021-12-02 14:02:36+00:00,"""My religious identity and commitment to reproductive autonomy are deeply intertwined."" https://t.co/U6urdXAHH9",1,1,No,en,no media
1466376671590817796,2021-12-02 12:00:17+00:00,"Nothing's worse than a house full of junky, obnoxious toys. We've got the ultimate list of kid gifts that are aesthetically pleasing and, most importantly, quiet. https://t.co/RgULrtBkdB",0,0,No,en,no media
1466373012106747904,2021-12-02 11:45:44+00:00,"Give the ultimate gift of alone time with these items, which range from book memberships to contact-free meal services. https://t.co/zc8VEyqCxR",1,0,No,en,no media
1466369220292263940,2021-12-02 11:30:40+00:00,"Jewelry, bath products, leather goods and more, all from Latinx-owned brands. https://t.co/2A4flYy01w",0,0,No,en,no media
1466365431791468544,2021-12-02 11:15:37+00:00,Here's how to prevent it from happening in the first place — and also how to stop it in its tracks once it starts. https://t.co/aoGqyq9Xbe,0,0,No,en,no media
1466361645228298246,2021-12-02 11:00:34+00:00,"Supplements and topicals claim to prevent or even recolor the natural pigment of your hair, but here's what experts say. https://t.co/INTBsjwGQ8",0,0,No,en,no media
1466357848145903616,2021-12-02 10:45:29+00:00,"Unique vinyl coasters, fun trivia cards and delicious food finds make for great anonymous gifting. https://t.co/31CnFkmBNx",0,0,No,en,no media
1466346616168882177,2021-12-02 10:00:51+00:00,"Starting in mid-January, people will be able to get the cost of at-home COVID-19 tests reimbursed by their private health insurance. https://t.co/WHCqxFh6NW",0,0,No,en,no media
1466271293972660225,2021-12-02 05:01:33+00:00,"Months after the state enacted a six-week abortion ban, another bill went into effect largely cutting off Texans' remaining access to abortion care. https://t.co/HWcycr6LUp",0,0,No,en,no media
1466248199358894082,2021-12-02 03:29:46+00:00,The first U.S. case of the omicron variant has been confirmed in California. https://t.co/wnIeCyi9C5,0,0,No,en,no media
1466217330506043403,2021-12-02 01:27:07+00:00,"Have a bad or funny office holiday party story? We want to hear all about bad DJs, awkward co-worker interactions, drunk bosses and corporate fails. Email monica.torres@huffpost.com with your story. It could be used in an upcoming piece. You can choose to remain anonymous.",0,0,No,en,no media
1466216399907573764,2021-12-02 01:23:25+00:00,Want to improve communication with your partner? Avoid these damaging phrases. https://t.co/kNNnPnLCMU,1,0,No,en,no media
1466205795016744960,2021-12-02 00:41:16+00:00,"“I have to think about what they’re going to experience leaving the home,” the ""Unforgivable” star said. https://t.co/6goGcEUMma",1,0,No,en,no media
1466160326576119811,2021-12-01 21:40:36+00:00,"Here's what's new, from the omicron variant to updated booster guidance. https://t.co/nljs7rRNry",0,0,No,en,no media
1466156536032546818,2021-12-01 21:25:32+00:00,"""I don't need Spotify Wrapped to tell me my top songs are all bangers from Daniel Tiger."" https://t.co/9LPHuOEK3b",0,0,No,en,no media
1466152739331846147,2021-12-01 21:10:27+00:00,The president was blunt when a reporter asked him about sharing a debate stage with Trump after his rival had reportedly tested positive for COVID-19. https://t.co/mY1OovkXDn,0,1,No,en,no media
1466148941469208582,2021-12-01 20:55:22+00:00,The justices appeared primed to overturn Roe v. Wade. https://t.co/q1w9dTIMtX,0,1,No,en,no media
1466134146007379970,2021-12-01 19:56:34+00:00,Mark Meadows revealed in his book that the former president had first tested positive for the coronavirus nearly a week before he admitted it. https://t.co/dFcC9VXwZ2,2,1,No,en,no media
1466121894176989188,2021-12-01 19:07:53+00:00,"Nearly 20 countries have recorded the variant, triggering travel bans across the world. https://t.co/SbbZdgqymy",0,1,No,en,no media
1466118097123872782,2021-12-01 18:52:48+00:00,The new COVID-19 variant was first identified by researchers in South Africa. https://t.co/dJxVsfIPsG,0,0,No,en,no media
1466083327069274119,2021-12-01 16:34:38+00:00,A series of injunctions have held up key components of the president’s vaccination campaign in court. https://t.co/DOd5vb5Q57,0,0,No,en,no media
1466074230383067144,2021-12-01 15:58:29+00:00,Will we need new shots because of the omicron variant or any other future strains? Here's what we know right now. https://t.co/pTKrcnv1TW,1,0,No,en,no media
1466057810391748617,2021-12-01 14:53:14+00:00,Abloh was known for pushing boundaries as the head of the legendary French fashion house. https://t.co/CfWYIz5Mrx,1,0,No,en,no media
1466044552175919109,2021-12-01 14:00:33+00:00,"""'Don’t tell anyone,' he said next. 'Why not?' I asked. 'We have to protect the kids. They can’t know. The town can’t know.''' https://t.co/nORnuX5Zhj",0,0,No,en,no media
1466014268566949893,2021-12-01 12:00:13+00:00,"Jade rollers, friendship rings and wine on delivery may help mend your friend's broken heart. https://t.co/3EnAJ1FZ2f",0,0,No,en,no media
1466010602476822529,2021-12-01 11:45:39+00:00,"Noise-canceling headphones, seam-free clothing, engaging activities and more gift ideas for children who may experience sensory under- or overload. https://t.co/uFkRQnJNYi",4,1,No,en,no media
1466006816513482752,2021-12-01 11:30:36+00:00,"""Titanic"" and ""What’s Eating Gilbert Grape"" are among the movies and shows departing the streaming platform this month. https://t.co/OtArGFLsMi",0,0,No,en,no media
1466003028503416837,2021-12-01 11:15:33+00:00,"From dolls with naturally curly hair to reimagined fairytale books, these products will create toy chests that match real life. https://t.co/teuECGUu6t",0,0,No,en,no media
1465999238836404244,2021-12-01 11:00:30+00:00,Nutritionists weigh in on everything from peppermint mochas to gingerbread lattes. https://t.co/B5cuWt8Sp3,0,0,No,en,no media
1465995449555378181,2021-12-01 10:45:26+00:00,Velvet suits are all over the red carpet these days. Here's how to bring them into your wardrobe. https://t.co/JHDxm4XD1u,2,1,No,en,no media
1465899620308066308,2021-12-01 04:24:39+00:00,Tests within 24 hours of departure and even self-quarantine rules are all reportedly on the table amid the spread of the omicron variant. https://t.co/apZeGLXCRj,2,0,No,en,no media
1465808486185553929,2021-11-30 22:22:31+00:00,Get the deal on Amazon before it's gone. https://t.co/cXyNIvY8Ib,0,0,No,en,no media
1465785611768508421,2021-11-30 20:51:37+00:00,What's different about the new COVID strain compared to others like delta? Here's what you need to know. https://t.co/2J32ufGkyF,0,0,No,en,no media
1465718777958604807,2021-11-30 16:26:03+00:00,help me out! https://t.co/kyFxCIRK8D,0,3,Yes,en,photo
1465683018073485316,2021-11-30 14:03:57+00:00,"""He always shows up when I least expect it ― and I really should expect it by now."" https://t.co/uqEjr23Nih",0,0,No,en,no media
1465682033204609037,2021-11-30 14:00:02+00:00,"Have a memorably bad or funny office holiday party story? We want to hear all about bad DJs, awkward co-worker interactions, drunk bosses and corporate fails. Email monica.torres@huffpost.com with your story. It could be used in an upcoming piece. https://t.co/ZdVMJ6NqBN",1,0,No,en,photo
1465679229354491910,2021-11-30 13:48:53+00:00,Dutch health authorities said the coronavirus variant was found in samples taken before South Africa first reported the variant to the World Health Organization. https://t.co/AMBb4lJVYF,0,0,No,en,no media
1465640620848988162,2021-11-30 11:15:28+00:00,"Find the perfect custom gift with these offerings, from headphone stands to fun socks with the recipient's face on them. https://t.co/2p1tJeoDeg",2,0,No,en,no media
1465636832016846855,2021-11-30 11:00:25+00:00,"Inflation rates are setting records, but mentioning it to your boss in a negotiation is tricky. https://t.co/RGSIikCpq7",0,1,No,en,no media
1465633040479236097,2021-11-30 10:45:21+00:00,Read this if you're constantly jumping to the worst-case scenario when you're anxious. https://t.co/fYPb676nK7,0,0,No,en,no media
1465491386694832133,2021-11-30 01:22:28+00:00,"Some lifelong singles say they're on their own by choice, while others are actively looking for love. https://t.co/6WX72ETdkl",0,1,No,en,no media
1465481922004627459,2021-11-30 00:44:52+00:00,"""I promise you it will go away if you just keep at it,"" Biden assured a girl while vacationing in Nantucket. https://t.co/VU4dk10OHQ",0,0,No,en,no media
1465449224036827136,2021-11-29 22:34:56+00:00,"“Many of us might think we are done with COVID-19. It’s not done with us,” World Health Organization director-general Tedros Adhanom Ghebreyesus said Monday. https://t.co/0zVxXgjpJj",2,0,No,en,no media
1465439496690966530,2021-11-29 21:56:17+00:00,"""I’m considering polygamy so someone else can answer my husband’s questions mid-movie."" https://t.co/dCIVMALATn",1,0,No,en,no media
1465408551401275395,2021-11-29 19:53:19+00:00,"For one day only, you can save big on Apple MacBook Airs and MacBook Pros. https://t.co/Y55Jukh7YN",0,0,No,en,no media
1465395549448937472,2021-11-29 19:01:39+00:00,"The U.S. will “face this new threat just as we’ve faced those that have come before it,” President Joe Biden said. https://t.co/IQk3BdwPW3",0,0,No,en,no media
1465391750009311234,2021-11-29 18:46:33+00:00,"""I am so grateful to officially call her mine,"" the fitness guru and former ""Biggest Loser"" coach said of her new fiancée. https://t.co/8hkBmw3dck",3,1,No,en,no media
1465386697835827204,2021-11-29 18:26:28+00:00,"Experts predict how the new COVID variant first identified in South Africa may affect vaccines, the pandemic and more. https://t.co/0O6l1I2uOb",0,0,No,en,no media
1465380889899245571,2021-11-29 18:03:24+00:00,"Get all the good deals on gifts for the kiddos with some super savings at Gap, Disney, Crayola, Wayfair and more. https://t.co/VS51PIs3P2",0,0,No,en,no media
1465377079906734092,2021-11-29 17:48:15+00:00,"Time to save some money on big-name brands like Samsung, Dyson, Bose, Foreo, and more, today only https://t.co/ZqtJKMT3mi",0,0,No,en,no media
1465361781489119237,2021-11-29 16:47:28+00:00,"""I’m here to experience my body for once without analyzing it."" https://t.co/5fiERwj8qU",1,0,No,en,no media
1465357981625823241,2021-11-29 16:32:22+00:00,"Get an ExpertClean Bluetooth toothbrush that connects with the Sonicare App on sale, today only. https://t.co/TAHdu836fF",0,0,No,en,no media
1465341810314723329,2021-11-29 15:28:06+00:00,Get the highly rated 3-in-1 styling tool today at a super discounted price. https://t.co/FWTZDr3zhi,0,0,No,en,no media
1465338020400357386,2021-11-29 15:13:03+00:00,"From Dutch ovens to cheesecloth and the right thermometer, these kitchen must-haves will help you make delicious fried food. https://t.co/tePHMSS5tL",0,0,No,en,no media
