id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466466632092590094,2021-12-02 17:57:45+00:00,The Women’s Health Protection Act would outlaw hundreds of state anti-abortion laws — but passing it would likely require eliminating the Senate filibuster. https://t.co/tGaIGe6hJe,15,6,No,en,no media
1466452297391742985,2021-12-02 17:00:47+00:00,"The Republican congressman from Ohio is spouting nonsense that ignores data, experts and the reality of the newest coronavirus variant. https://t.co/TUFxYPsJph",28,11,No,en,no media
1466448511675867142,2021-12-02 16:45:45+00:00,Here's some of what the heart surgeon-turned-politician has tried to peddle from his daytime TV perch. https://t.co/ds872wDfCk,12,13,No,en,no media
1466423877265993728,2021-12-02 15:07:51+00:00,"Attorneys for the families called the rapper's pledge a public relations ploy that would not alleviate ""the pain and suffering that they presently are experiencing."" https://t.co/PNjBmQ1i4a",8,5,No,en,no media
1466420080837804042,2021-12-02 14:52:46+00:00,The walkout over wages and creative control came the same day that the company’s shareholders are set to vote on taking the company public. https://t.co/RVQGttBZh3,11,3,No,en,no media
1466416417427927043,2021-12-02 14:38:13+00:00,"About 68.7% of the population in Germany is fully vaccinated against COVID-19, far below the minimum of 75% the government is aiming for. https://t.co/WtpxDWQSwk",15,2,No,en,no media
1466410233501306886,2021-12-02 14:13:38+00:00,"""My religious identity and commitment to reproductive autonomy are deeply intertwined."" https://t.co/9vh1OfZmlh",2,0,No,en,no media
1466406446543822850,2021-12-02 13:58:36+00:00,"Fossils found in Chile showed the species had a “really unusual weapon” in their tail, said scientists. https://t.co/UsGKhNNhoG",4,3,No,en,no media
1466399888955084801,2021-12-02 13:32:32+00:00,Pope Francis accepted Paris Archbishop Michel Aupetit's offer to step down amid a period of great upheaval in the French Catholic Church. https://t.co/B7KtuSJWV9,8,1,No,en,no media
1466395600849678340,2021-12-02 13:15:30+00:00,"They slept in the beds that are usually on show in the Aalborg, Denmark, store. https://t.co/3UqeaG3R4q",13,5,No,en,no media
1466391813099597831,2021-12-02 13:00:27+00:00,"A year after the left scored major gains against the state’s conservative Democratic establishment, one group’s litmus test is dividing progressives. https://t.co/e1nlVdhOYf",1,1,No,en,no media
