id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466471493873901576,2021-12-02 18:17:04+00:00,"The longest-serving Oregonian in the U.S. House of Representatives will remain in Congress until 2023.

       https://t.co/yZ9FtG6JpT",0,0,No,en,no media
1466459648865628161,2021-12-02 17:30:00+00:00,"The 84-foot US Capitol Christmas tree is ""lit."" https://t.co/ylPM81HX12",1,0,No,en,video
1466452369206620168,2021-12-02 17:01:04+00:00,"The House committee investigating the Jan. 6 Capitol insurrection plans weeks of public hearings next year after interviewing 250 witnesses.

       https://t.co/UnAsu023Me",1,0,No,en,no media
1466441042895552517,2021-12-02 16:16:04+00:00,"The 'Remain in Mexico' policy will begin Monday but the U.S. is taking steps to address Mexico's human rights concerns with the Trump-era policy.
       https://t.co/FrKoui3xtu",1,2,No,en,no media
1466430975399931911,2021-12-02 15:36:04+00:00,"White House celebrates Hanukkah with a menorah ceremony and Doug Emhoff lit it as the first Jewish spouse in history of a president or vice president.

       https://t.co/MLusd6cSMV",7,2,No,en,no media
1466418141664321541,2021-12-02 14:45:04+00:00,"Any serious objection to a funding measure in either chamber of Congress will delay passage, forcing a shutdown.

       https://t.co/IDFMRDeMPj",1,0,No,en,no media
1466414349581492230,2021-12-02 14:30:00+00:00,Protesters gathered outside the Supreme Court Wednesday as justices inside hear arguments that could change the abortion rules in the US. https://t.co/5Z1hsAJbWL https://t.co/ll0LJCFHWk,3,1,No,en,video
1466410594219835406,2021-12-02 14:15:04+00:00,"Symone Sanders' departure comes weeks after Vice President Kamala Harris' communications chief announced she was also leaving the White House.

       https://t.co/dkUToihEFz",2,0,No,en,no media
1466384167969726470,2021-12-02 12:30:04+00:00,"President Biden is expected to promote a plan for combatting COVID as the omicron variant is found in the U.S. and a poll shows rising frustration.

       https://t.co/6gVE6R0Nd2",1,0,No,en,no media
1466353718199308292,2021-12-02 10:29:04+00:00,"President Biden is expected to promote a plan for combatting COVID as the omicron variant is found in the U.S. and a poll shows rising frustration.

       https://t.co/B5V7A721Qu",3,1,No,en,no media
1466349942310678534,2021-12-02 10:14:04+00:00,"Fears over the omicron variant are overshadowing Biden's plans for December, which includes passing a key social and climate spending package

       https://t.co/lKb7CWaHMh",1,0,No,en,no media
1466210525751259137,2021-12-02 01:00:04+00:00,"Former Justice Department official Jeffrey Clark may reappear before the House's Jan. 6 committee and refuse to answer questions.

       https://t.co/1SILywbhRq",1,0,No,en,no media
1466183848169988098,2021-12-01 23:14:04+00:00,"The longest-serving Oregonian in the U.S. House of Representatives will remain in Congress until 2023.

       https://t.co/8lZ9GGPfSK",1,0,No,en,no media
1466178815462449164,2021-12-01 22:54:04+00:00,"On World AIDS Day, President Joe Biden laid out an HIV/AIDS strategy, including a focus on the growing population of people aging with HIV.

       https://t.co/rFQ1XAcpaO",3,1,No,en,no media
1466172523104686089,2021-12-01 22:29:04+00:00,"On World AIDS Day, President Joe Biden laid out an HIV/AIDS strategy, including a focus on the growing population of people aging with HIV.

       https://t.co/gpU0337GGx",3,1,No,en,no media
1466168748956606470,2021-12-01 22:14:04+00:00,"In nearly two hours of debate, Supreme Court justices wrestled with the potential impact of overturning Roe v. Wade.

       https://t.co/Bl3WvvrhV3",6,3,No,en,no media
1466164972342423553,2021-12-01 21:59:04+00:00,"Any serious objection to a funding measure in either chamber of Congress will delay passage, forcing a shutdown.

       https://t.co/06QWZdkfB1",2,0,No,en,no media
1466152389401104388,2021-12-01 21:09:04+00:00,"The potential Kemp-Abrams rematch happens in a new political climate. Kemp faces some GOP opposition in a state that turned blue in voting for Biden.

       https://t.co/yxsQTcHWUt",37,8,No,en,no media
1466123702651826178,2021-12-01 19:15:04+00:00,"Lt. Gov. Karyn Polito, widely considered to be the heir to Gov. Charlie Baker's political legacy, has also decided not to run for governor in 2022.

       https://t.co/KrxWHO40GO",1,1,No,en,no media
1466119852024807429,2021-12-01 18:59:46+00:00,"Dr. Anthony Fauci: ""The California and San Francisco Departments of Public Health and the CDC have confirmed that a recent case of COVID-19 among an individual in California was caused by the omicron variant."" https://t.co/nRwnzcGaXo",0,33,Yes,en,no media
1466111621382737928,2021-12-01 18:27:04+00:00,"Former President Trump reportedly tested positive for COVID-19 three days before the Sept. 29 debate with Joe Biden, Mark Meadows' new book asserts.

       https://t.co/yA33XQLPv0",1,1,No,en,no media
1466107820307357697,2021-12-01 18:11:57+00:00,President Biden addresses the nation's supply chain issues and the economy after meeting with major retailers. https://t.co/suvUXEWOsK https://t.co/9oKV5HpwpF,0,10,Yes,en,no media
1466095263295148040,2021-12-01 17:22:04+00:00,"At stake in the case is a Mississippi law as well as the Supreme Court's commitment to Roe v. Wade.

       https://t.co/cNMfnhYgRy",3,1,No,en,no media
1466091489088479240,2021-12-01 17:07:04+00:00,"Demonstrators rally as the Supreme Court hears arguments in a case challenging a Mississippi abortion law.

       https://t.co/2fJ6Y8U3J9",3,0,No,en,no media
