id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466457453755703301,2021-12-02 17:21:17+00:00,"As #BritneySpears  plans her next moves, she's excited about the little things: using her own ATM card, being able to buy her own candles and traveling to celebrate the big 4-0.

https://t.co/CIURfSBoYT",1,2,No,en,no media
1466441356440530945,2021-12-02 16:17:19+00:00,"#BritneySpears is turning 40 today, and like many stars hitting the milestone age, the pop icon is experiencing a renaissance in her life.  

https://t.co/5JYOB0NYaZ",4,1,No,en,no media
1466429103524007940,2021-12-02 15:28:37+00:00,"new (premium! aka, please subscribe to read) from me: ed sheeran thought he was gay as a child. we need to talk about why. https://t.co/WDcUIkGcks",0,1,Yes,en,no media
1466428106483417101,2021-12-02 15:24:40+00:00,"More from @usatodaylife's Wellness team: @ryu_jenna on just what it means when someone gives you a compliment, yet insults you ""You look good for your age."" https://t.co/DJjSgQh3CW",0,2,Yes,en,no media
1466422705960497161,2021-12-02 15:03:12+00:00,netflix's first gay holiday rom-com SINGLE ALL THE WAY is out now and is ADORABLE!!!!!! chatted w/ its stars all about it: https://t.co/IuRNIZqo7j https://t.co/0mNTadTCk8,0,8,Yes,en,no media
1466421803920904205,2021-12-02 14:59:37+00:00,"Alec Baldwin is speaking out in his first sit-down interview since the fatal shooting on the set of #Rust in which the actor fired a prop gun that he says he didn't know contained live ammunition, killing cinematographer Halyna Hutchins and injuring director Joel Souza. https://t.co/SESP4WM12A",0,0,No,en,video
1466416017106636801,2021-12-02 14:36:37+00:00,"In 2010, #BritneySpears delighted ""Glee"" fans by making a cameo in the ""Britney/Brittany"" episode. https://t.co/YguyTTVV07
📸: Fox https://t.co/toEwJmbloU",21,4,No,en,photo
1466416010286678021,2021-12-02 14:36:36+00:00,"The kiss that shocked the world. In 2003, it was quite the moment when Madonna kissed #BritneySpears  on stage at the #VMAs, and then Christina Aguilera, who were both dressed in bridal lingerie. https://t.co/YguyTTVV07
📸: Getty https://t.co/Ph06qwFzqW",9,3,No,en,photo
1466416004045545472,2021-12-02 14:36:34+00:00,"#BritneySpears never ceased to wow us. Let's not forget the pop icon performed with a real snake at 2001 MTV Video Music Awards. https://t.co/YguyTTVV07
📸: Getty https://t.co/2sCK3k4f4G",8,3,No,en,photo
1466415996810383361,2021-12-02 14:36:32+00:00,"It's #BritneySpears' 40th birthday and we're celebrating by looking back at some of her most iconic moments, starting with the kick off of her ""Baby One More Time"" tour in 1999. https://t.co/YguyTTVV07
📸: AP https://t.co/d9ZsOmPmN1",137,39,No,en,photo
1466236062561353729,2021-12-02 02:41:33+00:00,Fans of the Skunk will think the results of Wednesday's #TheMaskedSinger elimination stink. https://t.co/odzyaUpMJ8,3,1,No,en,no media
1466149782376775680,2021-12-01 20:58:42+00:00,"Chris Cuomo addressed his suspension from CNN during his SiriusXM radio show.

https://t.co/3PyoQumymr",1,0,No,en,no media
1466100294740168707,2021-12-01 17:42:03+00:00,"It turns out Chris Cuomo was more involved with the damage-control campaign for his brother, former New York Gov. Andrew Cuomo, than previously acknowledged.

https://t.co/FQP2MKUSGt",1,0,No,en,no media
