id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466437013951897603,2021-12-02 16:00:03+00:00,"The Harris-Buttigieg rivalry is the talk of Washington. Now, they are hitting the road together https://t.co/qRjmcqA7VH",0,0,No,en,no media
1466421994560364557,2021-12-02 15:00:22+00:00,"Lawmakers reach deal on spending bill, but hurdles remain https://t.co/MhoNbIp52B",0,0,No,en,no media
1466406872961929217,2021-12-02 14:00:17+00:00,"Column: Sorry, Pete Buttigieg. It's Fred Karger who belongs in the history books https://t.co/zlV0Q65kT6",0,0,No,en,no media
1466361504115142662,2021-12-02 11:00:00+00:00,Jan. 6 panel votes to hold former DOJ official Jeffrey Clark in contempt https://t.co/i4vf4AXOf7,1,0,No,en,no media
1466261347792998408,2021-12-02 04:22:01+00:00,Vice President Kamala Harris spokesperson Symone Sanders is leaving https://t.co/lDPFGM2lx2,4,5,No,en,no media
1466210513860407296,2021-12-02 01:00:02+00:00,"Trump was COVID positive before his first debate with Biden, says ex-aide Mark Meadows https://t.co/N28OMdO0ll",0,0,No,en,no media
1466210008362803204,2021-12-02 00:58:01+00:00,Stacey Abrams launches second campaign for Georgia governor https://t.co/lEFxDtUCBr,1,0,No,en,no media
1466135057077309450,2021-12-01 20:00:11+00:00,Biden plays it safe in face of uncertain Omicron threat https://t.co/ItEL3y3T4g,0,0,No,en,no media
1466089843633668112,2021-12-01 17:00:32+00:00,"For nearly half of Black voters in L.A., homelessness is personal, poll finds https://t.co/cL5hldUodP",1,2,No,en,no media
1466074614279413761,2021-12-01 16:00:01+00:00,Essential Politics: Here's how the Democrats' spending bill may change again https://t.co/MmeJfPTakj,0,0,No,en,no media
1465999234348601345,2021-12-01 11:00:29+00:00,"With Roe vs. Wade in doubt, Supreme Court weighs future of abortion in Mississippi case https://t.co/RQy6EJMxYi",0,0,No,en,no media
1465772749331353608,2021-11-30 20:00:30+00:00,Ex-Trump aide Mark Meadows cooperating with House Jan. 6 panel https://t.co/S2LpMjgG4X,0,0,No,en,no media
1465757571327873029,2021-11-30 19:00:12+00:00,"Dr. Oz plans to run for Senate seat in Pennsylvania, sources say https://t.co/HXL0PH2bPt",0,1,No,en,no media
1465727369533169672,2021-11-30 17:00:11+00:00,What to listen for as Supreme Court weighs the right to abortion and Roe vs. Wade https://t.co/d4lOSLzhjE,0,0,No,en,no media
1465651974343376897,2021-11-30 12:00:35+00:00,The Jan. 6 attack on the Capitol was bad. It may have set the stage for worse https://t.co/PidUiud44o,0,0,No,en,no media
1465365119500791808,2021-11-29 17:00:44+00:00,Omicron variant clouds Biden's efforts to show pandemic progress https://t.co/0CSxIOakQB,0,0,No,en,no media
1464942175276388355,2021-11-28 13:00:06+00:00,Column: Biden wants to focus on China. Putin has another idea https://t.co/KcGTnTPYkX,1,1,No,en,no media
1464232473882152970,2021-11-26 14:00:00+00:00,Column: Socking Trump's enablers where it counts — in their wallets https://t.co/PkYqSuuYmX,0,0,No,en,no media
1463522837461970952,2021-11-24 15:00:10+00:00,Essential Politics: Turkey time for Biden https://t.co/l2N6cGtQ6k,0,0,No,en,no media
1463145309614317569,2021-11-23 14:00:00+00:00,Column: How George McGovern and a campaign 50 years ago helped poison today's politics https://t.co/3rkUAa7UH2,0,0,No,en,no media
1463130230206480392,2021-11-23 13:00:05+00:00,U.S. to release 50 million barrels of oil to ease energy costs https://t.co/IbxrwJhwJs,0,0,No,en,no media
1462948516033093638,2021-11-23 00:58:01+00:00,Alex Jones and Roger Stone subpoenaed by House Jan. 6 committee https://t.co/OCFrWG9sts,1,0,No,en,no media
1462888699025408000,2021-11-22 21:00:19+00:00,"In Africa, Blinken sees limits of U.S. influence abroad https://t.co/WhWwwG8QNx",0,0,No,en,no media
1462798113123586053,2021-11-22 15:00:22+00:00,"Biden to keep Powell as Fed chair, Brainard gets vice chair https://t.co/TMGjIZgEQp",0,0,No,en,no media
1462450878686937088,2021-11-21 16:00:35+00:00,"Latino, Asian American, LGBTQ activists: They want to shape California's congressional maps https://t.co/9Fomyfjbk1",0,0,No,en,no media
1462405437811269641,2021-11-21 13:00:01+00:00,Our oldest president just turned 79. He might have something to learn from the second-oldest https://t.co/JbtXPdfZgg,0,0,No,en,no media
1461876956799111170,2021-11-20 02:00:01+00:00,Marathon McCarthy speech highlights GOP leader's play for speaker https://t.co/Z4rRMhiOoS,0,0,No,en,no media
1461831782853193737,2021-11-19 23:00:31+00:00,Biden administration pushes booster shots as second pandemic winter approaches https://t.co/U9JW5CAbpK,0,0,No,en,no media
1461756349524713477,2021-11-19 18:00:46+00:00,"Kamala Harris makes history, again, as first woman with presidential power — temporarily https://t.co/xeiOXvqxHY",2,2,No,en,no media
1461741058983927811,2021-11-19 17:00:00+00:00,"Bread for the poor, SALT for the rich: Why some affluent Californians would get a big break from Democrats https://t.co/yJhp2v8fiF",0,0,No,en,no media
1461725965491613705,2021-11-19 16:00:02+00:00,"Blinken points to crises in Ethiopia and Sudan, says African nations must reform https://t.co/Dpa4hGDBff",0,0,No,en,no media
1461650546251739143,2021-11-19 11:00:21+00:00,Kamala Harris' struggles create a bind for Democrats https://t.co/cMRnEQECDv,0,0,No,en,no media
1461514678052532227,2021-11-19 02:00:27+00:00,House to vote on Biden's social spending plan https://t.co/OoMlk1Istt,6,2,No,en,no media
1461424131199623180,2021-11-18 20:00:39+00:00,Two suspected Iranian computer hackers charged with threatening U.S. voters in 2020 https://t.co/DXpRx8Lt7h,0,0,No,en,no media
1461408872208515072,2021-11-18 19:00:01+00:00,Column: Kevin Faulconer totally flopped as a candidate for California governor. So why not try again? https://t.co/dUbnzId8qs,0,0,No,en,no media
1461318272209592320,2021-11-18 13:00:00+00:00,California has a new battle plan for confronting environmental injustice. The nation is watching https://t.co/s8LO2772Z3,9,6,No,en,no media
1461136575358767113,2021-11-18 00:58:00+00:00,Biden and AMLO face energy and migration challenges during White House summit https://t.co/pWcrSf7VpM,0,0,No,en,no media
1461061719208480770,2021-11-17 20:00:33+00:00,"'This is real stuff': Biden hits the road to sell historic infrastructure law, avoid 2010 replay https://t.co/t7nkA6JJB9",0,0,No,en,no media
1461016472721965057,2021-11-17 17:00:46+00:00,House to censure GOP's Gosar over cartoon showing him stab AOC https://t.co/oSMIXGftXs,1,1,No,en,no media
1461001245762723840,2021-11-17 16:00:15+00:00,"Kamala Harris has a brief moment of levity in France, then returns to reality https://t.co/3nN0JGrQVz",0,0,No,en,no media
1460940836083011590,2021-11-17 12:00:12+00:00,"Polls: Most Americans support the right to abortion, but many are also OK with 15-week limit https://t.co/1wQW5fjnqt",0,0,No,en,no media
1460925831908319233,2021-11-17 11:00:35+00:00,Progressive Democrats test-drive new hardball tactics https://t.co/aJn3nIXdvr,0,0,No,en,no media
1460638815639453700,2021-11-16 16:00:05+00:00,Jackie Speier to retire from Congress https://t.co/84TOWHcPTo,0,0,No,en,no media
1460623790136774659,2021-11-16 15:00:23+00:00,"Is your company secretly monitoring your work at home? Since COVID, the practice has surged https://t.co/1VXNA7uU4w",3,2,No,en,no media
