id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466473258937503744,2021-12-02 18:24:05+00:00,"The Mater Dei football hazing incident isn't a one-time blip, writes our @GustavoArellano, it's a school culture. The history here is very well reported and worth your time.
https://t.co/LhQJgcDFJN",0,5,Yes,en,no media
1466470259658051591,2021-12-02 18:12:10+00:00,Friday’s Clippers-Lakers game is being flexed off of ESPN. ESPN wants the Warriors-Suns rematch.,0,51,Yes,en,no media
1466468692057853956,2021-12-02 18:05:56+00:00,"@latimessports Hacksaw did Chargers game at 1pm...in SF
San Diego State game at 7:30pm...in SD",0,1,Yes,en,no media
1466468529746714632,2021-12-02 18:05:17+00:00,Lockout begins with the Angels still needing starting pitching https://t.co/Hm6IJsBjNz,0,1,No,en,no media
1466468430844936199,2021-12-02 18:04:54+00:00,"“We got to create a short field for him, make it easy on him, help him get out of whatever funk he’s in right now. And when he gets out, NFL look out once again.” https://t.co/RxmvxknW8P",0,2,Yes,en,no media
1466468320702615552,2021-12-02 18:04:27+00:00,"Always nice to get a phone call from mom. 
“Gary, is everything OK?”
“Yes. Why?”
“I didn’t see your name. Why is (fill in columnist name here) writing about the Rams?”

She really did enjoy @dylanohernandez and his take on Matthew Stafford.  https://t.co/4kJBag125E",0,3,Yes,en,no media
1466460407154028547,2021-12-02 17:33:01+00:00,High school basketball: Wednesday's scores https://t.co/LOzmlTgy5z,1,1,No,en,no media
1466449915471548419,2021-12-02 16:51:19+00:00,"This is hardly the most ambitious itinerary attempted by the veteran broadcaster, who promised then-UCLA AD Dan Guerrero in 2016 he would do everything he could to never miss a game.

https://t.co/dwmlsngb2L https://t.co/7O5qNmWQ9p",0,0,No,en,photo
1466449912455856130,2021-12-02 16:51:19+00:00,"Basketball in Las Vegas at 2 p.m.

Football in Pasadena at 7:30 p.m.

On a recent Saturday, UCLA radio voice Josh Lewin attempted to call two games in two states with little time to spare in between.

And he brought @latbbolch along for the ride.

https://t.co/dwmlsngb2L",7,2,No,en,no media
1466445311463854094,2021-12-02 16:33:02+00:00,Can UCLA broadcaster Josh Lewin cover two games in two states during a 10-hour span? https://t.co/u3APRebvTn,2,0,No,en,no media
1466438261425983488,2021-12-02 16:05:01+00:00,Lakers have been waiting for something like LeBron James on the COVID-19 protocols list https://t.co/PJHic4S4OW,2,0,No,en,no media
1466431301305708548,2021-12-02 15:37:21+00:00,"It's pretty confusing stuff.

Here's an explainer that answers questions about how baseball got to this point and what might come next.

https://t.co/9ooXPZ0hif",2,2,No,en,no media
