,id,text,twitter_account
64,1007994175491457024,37 Random But Fascinating Facts About Classic TV Shows https://t.co/Sq2rWgD7vg https://t.co/BQ1VX82xAB,BuzzFeed Arts & Entertainment
40,1067530029666574336,Is The US Prepared For The Day One Of Its Hackers Is Charged By A Foreign Country? https://t.co/HBhqYmVvdP https://t.co/9JXiD6pImW,BuzzFeed Politics
12,1432568232783851524,"Believe it or not, CBS passed on the show after seeing this. https://t.co/fpUBpFxvWU",HuffPost Politics
125,1456294623408754689,"The new set of rules clarify the details of the vaccination requirement President Joe Biden announced in September for larger businesses as a part of his ""six-pronged strategy"" to boost vaccinations. https://t.co/OL4DKGYB5L",USA TODAY Politics
46,1062817976993234944,Mitch McConnell Just Blocked A Bipartisan Bill To Protect Robert Mueller https://t.co/sJ4tPtgiIt https://t.co/zmv5fWGB26,BuzzFeed Politics
9,1452757642577911808,"Her son, a high school senior, had nightmares after reading the Toni Morrison classic. https://t.co/3KqQLvCtBz",HuffPost Politics
72,1311519964705288193,Q&amp;A: What is President Trump's relationship with far-right and white supremacist groups? https://t.co/s49KlQtW7i,L.A. Times Politics
94,1455905862493540364,It's Super Bowl or nothing for Rams: takeaways from their many moves https://t.co/fCOoLPDv7X,L.A. Times Sports
73,1354202506822373376,Biden acts to expand COVID-19 vaccine distribution https://t.co/Jl0SzVKrLA,L.A. Times Politics
115,1422554150500438020,"Title 42 was first issued last year by the CDC under the Trump administration. Biden has gotten backlash from activists for keeping the policy.

       https://t.co/ygkr1Tgrce",USA TODAY Politics
1,1433552945535086617,Black and Latinx people are disproportionately impacted by heat stress. https://t.co/HxB6XUPfxk,HuffPost Politics
13,1425170908495425543,"In a reversal, Supplemental Security Income recipients won’t lose benefits even if coronavirus relief payments are still in their bank accounts. https://t.co/lCw45fa2bL",HuffPost Politics
93,1463524058335698944,Preview of this week's prep football championship games https://t.co/L1MyaPjgZi,L.A. Times Sports
5,1460285207936970752,"Experts predict the new center will be 12.8 miles southwest of Plato, Missouri, which has held the title since the 2010 Census. https://t.co/05pOQMBLo0",HuffPost Politics
36,1113937057888395269,Lindsey Graham is Writing A Bill To Take Guns Away from People Deemed Dangerous https://t.co/soRtbCxjHI https://t.co/HGlJFWu0HR,BuzzFeed Politics
34,1403702578697969665,"“If you are here to pick it up then the light must be at the end of the tunnel,"" read a message from a Delta pilot that was found 435 days later. https://t.co/4GLZ7K7eUU",HuffPost Life
135,1460992358170783746,".@levarburton is finally going to be the new host of a trivia game show. But no, it isn't #Jeopardy!

https://t.co/DyR3sv1wrA",USA TODAY Life
11,1443497653078302721,"According to the New Yorker, the alleged existence of a separate ledger for Trump has caught the eye of legal insiders. https://t.co/i4UGzao6nx",HuffPost Politics
143,1437510103398191107,"Jeff Bridges says his cancer is in remission, but battling lymphoma is nothing compared to his fight with COVID-19.

https://t.co/6F3TmAADgN",USA TODAY Life
54,676482819833466880,Horse racing Twitter trying to take Serena's #SIsportsperson award like... https://t.co/gYKPzE44PR,BuzzFeed Sports
25,971090358963666944,The Russian president isn't fooling us. https://t.co/20BrFnBPwB https://t.co/iByy7oTsvx,HuffPost Sports
140,1405628070816407555,"Regé-Jean Page, revealed that his loved ones were ""overwhelmed"" by all of his steamier scenes. 
https://t.co/Smdj3EKc39 https://t.co/2kFSitnBCa",USA TODAY Life
99,1457069529582944260,Book Club: Get to know Nikole Hannah-Jones and 'The 1619 Project' https://t.co/BDpMClOJkC,LAT Entertainment
20,869255565620502529,Brutal https://t.co/go6czX4LpV,HuffPost Sports
126,1460635021207875591,"Coach K's grandson, Duke junior guard Michael Savarino, has been charged with DWI, while freshman forward Paolo Banchero has been charged with aiding and abetting DWI. https://t.co/kLWPT9cUrL",USA TODAY Sports
96,1465005854613069825,"Another great piece by @AndrewGreif in @latimessports on: Steph Curry's in town, but leave room for Paul George in the early MVP conversation https://t.co/9pyTKY1EY2",L.A. Times Sports
32,1438450200780185610,How bad will it be? How can you tell influenza apart from COVID? When should you get the vaccine? Here's what to know. https://t.co/isfiXYFx5d,HuffPost Life
90,1465911586019627011,"This would be $14.5 million annually, in line with what top FA relievers have gotten in past several years

A big goal accomplished for the #Angels, who have made it clear all offseason how bad they wanted Iglesias back https://t.co/7mAE2HbitG",L.A. Times Sports
35,1422986086687690752,Does the new coronavirus strain affect the vaccines? Where is it spreading? Here's what you need to know. https://t.co/uqOKqWnXfj,HuffPost Life
91,1450100308806291464,"The Dodgers still can win this National League Championship Series.

The edge in talent will remain with the Dodgers. 

They just have to stop making decisions that neutralize it, @dylanohernandez writes.

https://t.co/XCxCghENiK",L.A. Times Sports
131,1451396389192228866,Dodgers stay alive in #NLCS behind Chris Taylor's historic day. https://t.co/5GuGJTVoY6,USA TODAY Sports
101,1433476567381037058,Maná to receive Billboard Icon Award and perform at ceremony https://t.co/uO5f6MGI4O,LAT Entertainment
55,643521047736778752,"The greatest Carmelo Anthony impression of all time, by @BdotAdot5. http://t.co/DNWoaGWniY",BuzzFeed Sports
10,1426256761292476417,"The famous former White House intern gave lots of hilarious answers when Vanity Fair asked her favorite historical figure, favorite name and the love of her life. https://t.co/nSC4K5Rq6q",HuffPost Politics
83,1273273041963933696,GOP unveils police-reform bill as Democrats begin moving their legislation through committee https://t.co/80wQTnPrvk,L.A. Times Politics
111,1455882461313855488,Introducing Eric Adams: New York City's new mayor. https://t.co/RN7WpaZfze https://t.co/PyM2gIPCEC,USA TODAY Politics
8,1447251496102465543,The House's second-ranking Republican repeated without evidence the false claim that states did not follow the Constitution when certifying their votes. https://t.co/NjxbbAMorz,HuffPost Politics
53,1433779741061009419,"Just four out of 25 officials responded to questions, and many of the most vocal anti-abortion advocates were silent about the 6-week ban. https://t.co/gUC0fQMFUI",BuzzFeed Politics
102,1433816306814423043,Review: 'The Big Scary 'S' Word' makes a case for socialism but fails to engage https://t.co/BzO5v9No6V,LAT Entertainment
61,653712886964072448,Cubs’ Starlin Castro goes yard and it’s now 2–2 in the bottom of the 4th. 🌟🌟🌟🌟,BuzzFeed Sports
142,1451926394020245505,"Meadow Walker got married and Vin Diesel was there to support his late co-star's daughter. 
https://t.co/Cnv3quzT15",USA TODAY Life
4,1461741701563879427,Alex Hales apologized on Friday after the publication of a photo showing him in blackface portraying Tupac Shakur at a party in 2009. https://t.co/c7uaItrMRf,HuffPost Politics
16,1465008972608335877,"""What happened on Jan. 6, senator?” Fauci said, responding to Republican lawmakers' latest attack against him. https://t.co/yKivdXPT2W",HuffPost Politics
