,Unnamed: 0,id,text,twitter_account,favorite_count,retweet_count,is_retweet
0,527,1351933244179152904,"Harris, who is Black and South Asian, made history when she took the oath as vice president. Now her symbolism shifts to action. https://t.co/b3Vdp3vkF6",BuzzFeed Politics,12,3,No
1,791,1309828834691350529,"In Amy Coney Barrett, conservatives see the Supreme Court champion they've longed for https://t.co/RgMqLrin7F",L.A. Times Politics,0,1,No
2,248,1006560210029305856,"""Do I look as white as I sound?"" A bad lip reading from the NBA. https://t.co/YqLicY3OOn https://t.co/Lt2oGsfQlP",HuffPost Sports,0,1,No
3,1098,1422561643213426692,"Officer Gunther Hashida was found dead last week, according to the Metropolitan Police Department. Officer Kyle DeFreytag died in mid-July. https://t.co/Ef7UEqQhDf",USA TODAY Politics,1,3,No
4,905,1465819596162678787,"Five-star Los Alamitos QB Malachi Nelson has flipped from Oklahoma to USC. 

USC has its QB of the future under Lincoln Riley. https://t.co/oDfdYPZMjE",L.A. Times Sports,0,32,Yes
5,1424,1402994901579563010,"Have we gone back in time? Crocs, yes Crocs, are back in style.

https://t.co/1TL8Hl5MLj",USA TODAY Life,0,1,No
6,477,1067622124397854721,"Cindy Hyde-Smith Won Mississippi’s Senate Election, After Race Dominated The Final Weeks https://t.co/oh4VhBNers https://t.co/RyOc2js8mk",BuzzFeed Politics,0,0,No
7,1190,1443294049075662851,"This is the second setback Democrats have faced in trying to include immigration in the reconciliation package.

       https://t.co/hTsuhMyG45",USA TODAY Politics,5,3,No
8,763,1287841213555580928,Wealthy donors pour millions into fight over mail-in voting https://t.co/wrPFJktGNh,L.A. Times Politics,0,0,No
9,417,1367198594915270664,"Cuomo said he ""never touched anyone inappropriately,"" despite one woman saying he kissed her without consent and another having a photo of her visibly uncomfortable as he grabbed her cheeks. https://t.co/vCwttcf04t",BuzzFeed Politics,1,0,No
10,179,1421207290309488646,Gov. Kate Brown signed the bill as the massive Bootleg fire raged in southern Oregon. https://t.co/DzeAujvSct,HuffPost Politics,68,22,No
11,623,653631540241563649,"It took Charles Woodson 18 years, but he finally picked off Peyton Manning yesterday. http://t.co/fKPeZW037I",BuzzFeed Sports,0,5,Yes
12,907,1454598860785868808,"Freshman Jaxson Dart is in at quarterback for USC, and the crowd roars.",L.A. Times Sports,0,2,Yes
13,61,1451328113502208003,A recent juvenile justice reform bill excluded hundreds of people facing long prison sentences for crimes they committed before they turned 18. Gov. Kate Brown’s clemency order will allow some of them a second chance. https://t.co/KjeeLGUf63,HuffPost Politics,18,6,No
14,39,1420461065259859971,"The resolution from Bush, who experienced homelessness, demands Congress invest in affordable housing and services for unhoused people. https://t.co/SgXNtdNNzO",HuffPost Politics,18,5,No
15,490,1207015373586911232,Meet The Young Influencers Making Socialism Cool On TikTok https://t.co/1JsPsQdp50,BuzzFeed Politics,5,1,No
16,1059,1424113121199894542,"The Times asked four staffers who’ve been watching the Tokyo Games on TV to answer a simple question: How would you fix the Olympics?

Here are their answers. https://t.co/ouOAfEuSYE",LAT Entertainment,1,1,No
17,393,1195421597726699521,"Twitter Has Suspended Several Accounts Responsible For Spreading “I Hired Donald Trump To Fire People Like Yovanovitch"" https://t.co/nH5MEZGLtw",BuzzFeed Politics,22,16,No
18,826,1318357266135998464,"In tie vote, Supreme Court rejects GOP appeal on Pennsylvania mail ballot deadline https://t.co/OJZHOPnZdX",L.A. Times Politics,1,1,No
19,432,1311747157934907392,The Trump Administration Lost Millions of Dollars of Food and Water Meant For Puerto Rico After Hurricane Maria https://t.co/3mVSzm0hV1,BuzzFeed Politics,1,5,No
20,1377,1392576574700986369,"A month after coming out as gay, @colton Underwood is pulling back the curtain on his experience with #TheBachelor franchise and his journey to living in his truth.
https://t.co/W2Pdp5q7gH",USA TODAY Life,0,0,No
21,150,1459069886748147716,"He was found guilty on several charges, including incitement for allegedly spreading false or inflammatory information. https://t.co/GglgNm40gL",HuffPost Politics,10,10,No
